Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784365149,310,,Aggregated,78.300000,0.000000,350,560,770,840,1200,1400,1800,2200,2800,3300,3300,1892,0,350,487.693043122704,8.474664064124227,3296.909275930375,232.8081395348837
1784365150,320,,Aggregated,78.200000,0.000000,370,630,820,890,1300,1500,2100,2500,3300,3800,3800,1973,0,370,532.0649099333501,8.474664064124227,3844.965375959873,232.40598073998987
1784365151,330,,Aggregated,77.400000,0.000000,390,680,850,950,1400,1600,2400,2600,3800,4600,4600,2040,0,390,576.2297382816791,8.474664064124227,4608.180278912187,232.2627450980392
1784365152,340,,Aggregated,77.200000,0.000000,420,740,900,1100,1500,1800,2600,2800,4300,4800,4800,2120,0,420,632.3367486628791,8.474664064124227,4844.64220283553,231.46981132075473
1784365153,350,,Aggregated,76.700000,0.000000,440,790,970,1300,1600,1900,2800,3100,5100,5400,5400,2186,0,440,675.1990176540052,8.474664064124227,5381.491458974779,232.49268069533395
1784365154,360,,Aggregated,76.700000,0.000000,460,830,1100,1300,1700,2200,2900,3200,5300,5400,5400,2257,1,460,723.1259869285115,8.474664064124227,5381.491458974779,234.15551617190962
1784365155,370,,Aggregated,76.700000,0.000000,490,850,1300,1400,1800,2400,3100,3400,5300,5400,5400,2341,1,490,777.0497682547123,8.474664064124227,5381.491458974779,234.27765912003417
1784365156,380,,Aggregated,74.600000,0.100000,510,890,1300,1500,1900,2600,3300,3800,5400,9000,9000,2406,1,510,824.0627331108765,8.474664064124227,9012.934004887938,233.52452202826268
1784365157,390,,Aggregated,74.200000,0.100000,540,950,1400,1600,2000,2700,3500,3800,5400,9000,9000,2477,1,540,867.0339368691319,8.474664064124227,9012.934004887938,235.25433992733144
1784365158,400,,Aggregated,75.800000,0.100000,570,1100,1500,1700,2100,2800,3700,3900,5600,9000,9000,2558,1,570,919.8949477337504,8.474664064124227,9012.934004887938,234.68060985144643
1784365159,400,,Aggregated,74.900000,0.100000,620,1200,1600,1800,2200,2900,3800,4400,5800,9000,9000,2622,1,620,969.129971334477,8.474664064124227,9012.934004887938,235.33524027459956
1784365160,400,,Aggregated,73.800000,0.100000,670,1300,1600,1800,2300,3100,4100,4600,5900,9000,9000,2697,1,670,1020.9763812457692,8.474664064124227,9012.934004887938,235.14645902855025
1784365161,400,,Aggregated,73.100000,0.100000,710,1400,1700,1900,2300,3200,4200,4800,6100,9000,9000,2771,1,710,1072.169739239873,8.474664064124227,9012.934004887938,236.5052327679538
1784365162,400,,Aggregated,73.100000,0.100000,750,1400,1800,2100,2500,3600,4400,5400,8200,9500,9500,2838,1,750,1125.292525571588,8.474664064124227,9512.240567943081,237.91120507399577
1784365163,400,,Aggregated,73.200000,0.100000,790,1500,1900,2100,2500,3800,4600,5700,9000,11000,11000,2908,1,790,1181.1451760672821,8.474664064124227,11180.199292022735,239.49002751031637
1784365164,400,,Aggregated,72.100000,0.100000,810,1500,2000,2200,2500,3800,4600,5900,9500,11000,11000,2971,1,810,1222.9222654073787,8.474664064124227,11180.199292022735,240.11141029956244
1784365165,400,,Aggregated,72.200000,0.100000,830,1600,2100,2300,2600,4100,4700,6000,9000,11000,11000,3045,1,830,1271.9195134562328,8.474664064124227,11180.199292022735,239.9024630541872
1784365166,400,,Aggregated,72.800000,0.000000,850,1700,2100,2300,2600,4300,4800,6400,9000,11000,11000,3121,1,850,1323.807433941433,8.474664064124227,11180.199292022735,240.16020506247997
1784365167,400,,Aggregated,70.800000,0.000000,870,1800,2200,2300,2700,4300,4800,6400,9500,11000,11000,3183,1,870,1354.1736090130796,8.474664064124227,11180.199292022735,241.83788878416587
1784365168,400,,Aggregated,70.100000,0.000000,910,1800,2300,2400,2800,4500,4900,6500,9500,11000,11000,3253,1,910,1395.9142521513747,8.474664064124227,11180.199292022735,241.8121733784199
1784365169,400,,Aggregated,70.900000,0.000000,950,1900,2300,2400,2900,4500,5400,6600,9500,11000,11000,3320,1,950,1430.7594799742394,8.474664064124227,11180.199292022735,242.84909638554217
1784365170,400,,Aggregated,69.700000,0.000000,1000,1900,2300,2400,3100,4500,5600,6700,11000,11000,11000,3371,1,1000,1461.2968537124336,8.474664064124227,11180.199292022735,242.3699199050727
1784365171,400,,Aggregated,69.700000,0.000000,1100,2000,2400,2400,3200,4600,5900,6700,11000,11000,11000,3448,1,1100,1509.242098330517,8.474664064124227,11253.038356779143,245.1679234338747
1784365172,400,,Aggregated,69.200000,0.000000,1200,2100,2400,2500,3600,4600,6100,6700,11000,11000,11000,3520,1,1200,1545.757170177967,8.474664064124227,11253.038356779143,244.5
1784365173,400,,Aggregated,67.200000,0.000000,1300,2200,2400,2500,3700,4600,6100,6800,11000,11000,11000,3577,1,1300,1573.9981335754303,8.474664064124227,11253.038356779143,245.28207995526978
1784365174,400,,Aggregated,68.500000,0.000000,1300,2200,2400,2500,3800,4600,6400,6800,11000,11000,11000,3646,1,1300,1607.8861628712584,8.474664064124227,11253.038356779143,246.06692265496434
1784365175,400,,Aggregated,67.400000,0.000000,1400,2300,2400,2500,3900,4600,6400,6800,11000,11000,11000,3716,1,1400,1631.3510038659997,8.474664064124227,11253.038356779143,245.94671689989235
1784365176,400,,Aggregated,65.800000,0.000000,1400,2300,2400,2500,4100,4600,6500,6800,11000,11000,11000,3789,1,1400,1658.005777667108,8.474664064124227,11253.038356779143,245.3483768804434
1784365177,400,,Aggregated,67.700000,0.000000,1500,2300,2400,2500,4200,4700,6600,6800,11000,11000,11000,3859,1,1500,1691.9477488976513,8.474664064124227,11253.038356779143,245.43379113760042
1784365178,400,,Aggregated,66.600000,0.000000,1500,2300,2400,2500,4200,4700,6600,6800,11000,11000,11000,3914,1,1500,1710.0577334808895,8.474664064124227,11253.038356779143,245.47445068983137
1784365179,400,,Aggregated,66.500000,0.000000,1600,2300,2400,2500,4400,4700,6700,6800,11000,13000,13000,3988,1,1600,1739.5016695063332,8.474664064124227,13321.75068790093,245.3472918756269
1784365180,400,,Aggregated,67.000000,0.000000,1600,2400,2400,2500,4400,4700,6700,6800,11000,13000,13000,4042,1,1600,1760.9733436928295,8.474664064124227,13321.75068790093,245.88842157347847
