Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /alerts,18,0,13,15.543725509713921,11.797851882874966,27.09281095303595,758.3333333333334,0.6305797380078134,0.0,13,15,18,19,24,27,27,27,27,27,27
GET,GET /alerts/unread-count,12,0,12,11.881385813467205,10.509802028536797,14.387791976332664,18.0,0.420386492005209,0.0,12,12,12,12,13,14,14,14,14,14,14
GET,GET /persons,30,0,19,28.8656689459458,14.386551920324564,107.1117150131613,713.0,1.0509662300130225,0.0,20,29,32,37,41,110,110,110,110,110,110
GET,GET /persons/{id}/history,3,0,16,17.307120996216934,15.171118080615997,21.00916299968958,108.0,0.10509662300130225,0.0,16,16,21,21,21,21,21,21,21,21,21
GET,GET /persons/{id}/location,28,0,15,16.209760489540972,13.868588022887707,22.036851150915027,75.85714285714286,0.980901814678821,0.0,16,16,17,17,20,20,22,22,22,22,22
POST,POST /auth/login,10,0,41,42.57634759414941,35.70635803043842,56.98152398690581,81.0,0.3503220766710075,0.0,41,42,46,52,57,57,57,57,57,57,57
POST,POST /telemetry/gps,143,0,14,17.24188084473143,12.934141093865037,74.54826100729406,70.0,5.009605696395407,0.0,14,15,16,17,19,36,45,72,75,75,75
,Aggregated,244,0,15,19.202790371920976,10.509802028536797,107.1117150131613,198.86885245901638,8.547858670772582,0.0,15,16,18,19,36,41,57,75,110,110,110
