name,accuracy,precision,recall,f1,note
GPS Raw,0.9115499053286449,0.8586239396795476,0.9853975121687398,0.9176529841349786,전체 sheet
GPS Server,0.9543795620437956,0.9367609254498714,0.9853975121687398,0.9604638903531892,fall 제외
GPS Route,0.9878449408672799,0.9945414847161572,0.9853975121687398,0.9899483835914153,이동 경로
IMU Fall,0.8813575081357509,0.8878566688785667,0.8392222454526448,0.8628546861564917,ICCAS+SisFall
GPS 5-class,0.8882878009196646,0.8929913165245164,0.8929913165245164,0.8929913165245164,weighted F1
IMU 5-class,0.7660265079794428,0.7675423600609649,0.7675423600609649,0.7675423600609649,weighted F1
